site,month,date,time,chamber,side,spp,number
Duke,May,5/12/2010,19,14,b,prim,110
Duke,May,5/12/2010,19,15,a,prim,68
Duke,May,5/12/2010,19,15,b,none,
Duke,May,5/12/2010,20,1,a,crli,17
Duke,May,5/12/2010,20,1,b,apla,1
Duke,May,5/12/2010,20,1,b,crli,1
Duke,May,5/12/2010,20,2,a,prim,40
Duke,May,5/12/2010,20,2,b,caca,8
Duke,May,5/12/2010,20,3,a,apru,1
Duke,May,5/12/2010,20,3,a,crli,3
Duke,May,5/12/2010,20,3,b,caca,1
Duke,May,5/12/2010,20,3,b,crli,12
Duke,May,5/12/2010,20,3,b,tecu,1
Duke,May,5/12/2010,20,4,a,none,0
Duke,May,5/12/2010,20,4,b,prim,3
Duke,May,5/12/2010,20,5,a,crli,31
Duke,May,5/12/2010,20,5,b,prim,13
Duke,May,5/12/2010,20,6,a,prim,3
Duke,May,5/12/2010,20,6,b,cape,1
Duke,May,5/12/2010,20,6,b,tecu,2
Duke,May,5/12/2010,20,7,a,caam,1
Duke,May,5/12/2010,20,7,a,crli,5
Duke,May,5/12/2010,20,7,b,crli,50
Duke,May,5/12/2010,20,8,a,crli,40
Duke,May,5/12/2010,20,8,b,prim,40
Duke,May,5/12/2010,20,9,a,crli,7
Duke,May,5/12/2010,20,9,b,fosu,1
Duke,May,5/12/2010,20,10,a,cape,4
Duke,May,5/12/2010,20,10,b,none,0
Duke,May,5/12/2010,20,11,a,caam,1
Duke,May,5/12/2010,20,11,a,cape,1
Duke,May,5/12/2010,20,11,b,cape,1
Duke,May,5/12/2010,20,11,b,fosu,1
Duke,May,5/12/2010,20,12,a,fosu,1
Duke,May,5/12/2010,20,12,a,tecu,1
Duke,May,5/12/2010,20,12,b,prim,27
Duke,May,5/12/2010,20,13,a,crli,6
Duke,May,5/12/2010,20,13,b,apru,1
Duke,May,5/12/2010,20,13,b,prim,1
Duke,May,5/12/2010,20,14,a,prim,17
Duke,May,5/12/2010,20,14,b,prim,80
Duke,May,5/12/2010,20,15,a,caca,1
Duke,May,5/12/2010,20,15,a,prim,27
Duke,May,5/12/2010,20,15,b,apru,3
Duke,May,5/12/2010,20,15,b,prim,3
Duke,May,5/12/2010,21,1,a,caca,16
Duke,May,5/12/2010,21,1,b,caca,7
Duke,May,5/12/2010,21,2,a,prim,46
Duke,May,5/12/2010,21,2,b,caca,10
Duke,May,5/12/2010,21,3,a,caca,5
Duke,May,5/12/2010,21,3,a,prim,1
Duke,May,5/12/2010,21,3,b,prim,13
Duke,May,5/12/2010,21,4,a,caca,9
Duke,May,5/12/2010,21,4,b,caca,7
Duke,May,5/12/2010,21,5,a,crli,60
Duke,May,5/12/2010,21,5,b,none,0
Duke,May,5/12/2010,21,6,a,caca,13
